currency,risk,ticker,weight
EUR,0.0,PFM,0.0
EUR,0.0,SI=F,0.0
EUR,0.0,SMH,0.003983157392722376
EUR,0.0,SPYG,0.004484707563709336
EUR,0.0,TLT,0.0012465304698951005
EUR,0.0,VOX,0.0
EUR,0.0,VPU,0.0005647460898491013
EUR,0.0,VWO,-0.0029223339914121174
EUR,0.0,XLB,0.0
EUR,0.0,XLP,0.0032410666870160564
EUR,0.0,XLV,0.0
EUR,0.0,^AXJO,-0.0030430712182015086
EUR,0.0,^BSESN,0.001626204170423252
EUR,0.0,^HSI,0.0
EUR,0.0,EUR,0.9550043845516679
EUR,0.0,SGD,0.0
EUR,0.0,USD,-0.007463842746103
EUR,1.0,399001.SZ,0.011257232758771435
EUR,1.0,AGG,0.0
EUR,1.0,BBH,0.004065505314053438
EUR,1.0,DBC,-0.00579577588033863
EUR,1.0,EPP,0.0
EUR,1.0,EWC,0.0
EUR,1.0,EWH,0.004287450999450891
EUR,1.0,EWJ,-0.008921430264643692
EUR,1.0,EWK,-0.006433558864608092
EUR,1.0,EWL,0.0
EUR,1.0,EWM,0.0
EUR,1.0,EWN,0.0
EUR,1.0,EWO,0.0
EUR,1.0,EWP,0.012341358776161557
EUR,1.0,EWS,0.0
EUR,1.0,EWT,0.0
EUR,1.0,EWW,0.0
EUR,1.0,EWY,0.0
EUR,1.0,EZA,0.0
EUR,1.0,FXE,0.0
EUR,1.0,FXI,0.0
EUR,1.0,GLD,0.04562904184834603
EUR,1.0,IBB,0.002619398944743398
EUR,1.0,IGE,0.0
EUR,1.0,ILF,0.0
EUR,1.0,IXP,0.0
EUR,1.0,IYF,0.0
EUR,1.0,IYR,0.0
EUR,1.0,IYT,0.0
EUR,1.0,LQD,0.0
EUR,1.0,PA=F,0.0018077066747740275
EUR,1.0,PBW,-0.021250204349965253
EUR,1.0,PEJ,0.0
EUR,1.0,PFM,0.0
EUR,1.0,SI=F,0.0
EUR,1.0,SMH,0.030334278910831288
EUR,1.0,SPYG,0.02533574705899556
EUR,1.0,TLT,0.0064945972936350385
EUR,1.0,VDC,0.02471049267692382
EUR,1.0,VOX,0.0
EUR,1.0,VPU,0.0021023350471090305
EUR,1.0,VWO,-0.025013208745519582
EUR,1.0,XLB,0.0
EUR,1.0,XLV,0.0
EUR,1.0,^BSESN,0.009601156956867144
EUR,1.0,^HSI,0.0
EUR,1.0,EUR,0.7049530337098839
EUR,1.0,SGD,0.0
EUR,1.0,USD,-0.047046484924378094
EUR,2.0,399001.SZ,0.02094461024140888
EUR,2.0,AGG,0.0
EUR,2.0,BBH,0.007413356408728166
EUR,2.0,DBC,-0.00671958602549677
EUR,2.0,EPP,0.0
EUR,2.0,EWC,0.0
EUR,2.0,EWH,0.006460180806697499
EUR,2.0,EWJ,-0.01531995464761511
EUR,2.0,EWK,-0.012011874524420648
EUR,2.0,EWL,0.0
EUR,2.0,EWM,0.0
EUR,2.0,EWN,0.0
EUR,2.0,EWO,0.0
EUR,2.0,EWP,0.02299104783768373
EUR,2.0,EWS,0.0
EUR,2.0,EWT,0.0
EUR,2.0,EWW,0.0
EUR,2.0,EWY,0.0
